"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","sprint_speed","oaa","bat_speed","squared_up_rate","swing_length"
"Narváez, Omar","553882","2024",,,,,,,,,5,,,,,,,1,,,,
"Johnson, Bryce","669369","2024",,,,,,,,,12,,,,,,34,74,,,,
"Edman, Tommy","669242","2024",,,,,,,,,16,,,,,,,53,,,,
"Noda, Ryan","676116","2024",,,,,,,,,36,,,,,,1,42,,,,
"Azocar, José","640492","2024",,,,,,,,,40,,,,,,68,91,,,,
"Shewmake, Braden","669699","2024",,,,,,,,,49,,,,,,57,64,,,,
"Dunn, Oliver","686554","2024",,,,,,,,,67,,,,,,,92,,,,
"Urshela, Gio","570482","2024",23,68,30,18,25,13,12,9,47,8,92,14,79,15,17,8,85,7,83,72
"Lopez, Nicky","670032","2024",3,18,1,1,24,1,1,2,23,1,86,55,79,49,38,46,88,1,95,94
"Florial, Estevan","664314","2024",,,,,,,,,67,,,,,,,86,,,,
"Suzuki, Seiya","673548","2024",70,41,72,79,64,80,80,86,96,88,16,70,46,93,82,78,19,67,63,63
"McCarthy, Jake","664983","2024",55,85,32,13,83,6,6,4,24,3,79,36,84,34,27,98,88,5,70,91
"Wagner, Will","695238","2024",,,,,,,,,49,,,,,,21,30,,,,
"Candelario, Jeimer","600869","2024",12,13,27,45,7,55,53,15,38,20,32,19,22,14,23,51,2,11,52,10
"Bouchard, Sean","656248","2024",,,,,,,,,47,,,,,,58,43,,,,
"Herrera, Jose","645444","2024",,,,,,,,,10,,,,,,,7,,,,
"Davis, Henry","680779","2024",,,,,,,,,77,,,,,,,62,,,,
"Grissom, Vaughn","687093","2024",,,,,,,,,15,,,,,,15,44,,,,
"Varsho, Daulton","662139","2024",2,1,4,32,4,36,32,9,63,19,21,65,34,66,43,80,99,76,1,20
"Sheets, Gavin","657757","2024",38,48,32,27,57,29,26,24,60,23,46,59,55,30,78,31,10,63,29,20
"Schmitt, Casey","669477","2024",,,,,,,,,49,,,,,,73,52,,,,
